"","item_ID","label","english","description","comment","response_scale_discrete","response_scale_vas","branched_from","branched_response","beep_level","beeps_per_day","morning","evening","event","other","children","adolescents","adults","elderly","gen_pop","outpatient","inpatient","which","dataset","contact","open","open_link","request","closed","citation","existing_adapt","existing_ref","how_admin","how_long_beep","reliability","validity","development","item_use","item_instructions","item_other","X","tag"
"11",11,"ik twijfel wie ik ben","i doubt who i am","identity","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",11,"identity"
"12",12,"ik weet waar ik voor sta","i know what i stand for","identity","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","with adolescents this item may require additional explanation such as: ""this item is about your values, and not about physical position.""","",12,"identity"
"13",13,"met wie ben ik?","who is with me?","social context","","familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others) - niemand (nobody)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","participants may interpret this item in multiple ways. the item refers to the physical presence of other people.","",13,"social context"
"14",14,"ik vind het fijn om alleen te zijn","i find being alone pleasant","experience of being alone","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","niemand (nobody)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",14,"appraisal"
"15",15,"ik wil alleen zijn","i want to be alone","experience of being alone","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","niemand (nobody)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",15,"appraisal"
"16",16,"ik voel me buitengesloten","i feel an outsider","experience of being alone","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","niemand (nobody)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",16,"appraisal"
"17",17,"ik wil liever met anderen zijn","i prefer to have company","experience of being alone","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","niemand (nobody)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",17,"appraisal"
"18",18,"we zijn samen iets aan het doen (praten, leren, gamen, etc.) ","we are doing something together (talking, studying, playing etc.)","experience of social context when in company","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","any of the following, or multiple: familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",18,"social interaction"
"19",19,"ik voel me op mijn gemak in dit gezelschap","i feel comfortable in this company","experience of social context when in company","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","any of the following, or multiple: familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",19,"appraisal;social support"
"20",20,"ik voel me gewaardeerd door dit gezelschap","i feel valued in this company","experience of social context when in company","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","any of the following, or multiple: familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",20,"appraisal;social support"
"21",21,"ik hoor erbij","i belong ","experience of social context when in company","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","any of the following, or multiple: familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",21,"appraisal;social support"
"22",22,"ik zou liever alleen zijn","i would rather be alone","experience of social context when in company","","1 (not at all) - 7 (very much)","","met wie ben ik? (who is with me?)","any of the following, or multiple: familie thuis (gezin) - andere familie (other family) - vriend(en) (friends) - andere leeftijdsgenoten (other peers) - leraar (teacher) - onbekende mensen (unknown people/others)","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",22,"appraisal"
"23",23,"ik ben virtueel in contact met anderen","i am in contact with others online","social context","","yes - no","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","participants may interpret this item in multiple ways. this item requires additional explanation, such as: ""this item refers to interacting with someone who is not physically there, through an electronic device, such chatting on whatsapp on your phone or online gaming.""","",23,"social context;social interaction"
"24",24,"we zijn samen iets aan het doen","we are doing something together","experience of social context when in virtual company","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","yes","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",24,"appraisal;social interaction;activity"
"25",25,"ik voel me op mijn gemak in dit gezelschap","i feel comfortable in this company","experience of social context when in virtual company","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","yes","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",25,"appraisal;social support"
"26",26,"ik voel me gewaardeerd door dit gezelschap","i feel valued in this company","experience of social context when in virtual company","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","yes","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",26,"appraisal;social support"
"27",27,"ik hoor erbij","i belong with the people i am interacting with","experience of social context when in virtual company","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","yes","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",27,"appraisal;social support"
"28",28,"ik zou graag virtueel in contact zijn met anderen","i would like to be in virtual contact with others","experience of being alone and not interacting with others virtually","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","no","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",28,"appraisal"
"29",29,"hier heb ik zelf voor gekozen","this is my choice","experience of being alone and not interacting with others virtually","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","no","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",29,"appraisal"
"30",30,"ik voel me buitengesloten","i feel like an outsider","experience of being alone and not interacting with others virtually","","1 (not at all) - 7 (very much)","","ik ben virtueel in contact met anderen (i am in contact with others online)","no","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",30,"appraisal"
"31",31,"wat ben je aan het doen?","what are you doing?","physical context","","vrije tijd actief (sporten, uitgaan) (leisure active) – vrije tijd passief (tv kijken, lezen) (leisure passive) - school/werk (school/job) – huishoudelijke taken (chores) - onderweg (on my way) - persoonlijke hygiëne (wassen/tanden poetsen/aankleden) (personal hygiene) - iets anders (other) - niets (nothing) ","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",31,"activity"
"32",32,"dit vind ik leuk","i like this activity","experience of physical context","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","this item may require additional explanation, such as: ""this item refers to what you were doing before the moment of the beep. it does not refer to your experience answering these questions.""","",32,"activity;appraisal"
"33",33,"ik zou liever iets anders te doen","i would rather do something else","experience of physical context","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","myin-germeys, i., van os, j., schwartz, j. e., stone, a. a., & delespaul, p. a. (2001). emotional reactivity to daily life stress in psychosis... archives of general psychiatry, 58(12), 1137-1144.","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","this item may require additional explanation, such as: ""this item refers to what you were doing before the moment of the beep. it does not refer to your experience answering these questions.""","",33,"appraisal;activity"
"34",34,"dit is moeilijk voor mij","this is difficult for me","experience of physical context","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","this item may require additional explanation, such as: ""this item refers to what you were doing before the moment of the beep. it does not refer to your experience answering these questions.""","",34,"appraisal;activity"
"35",35,"ik kan dit goed","i am good at this","experience of physical context","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","this item may require additional explanation, such as: ""this item refers to what you were doing before the moment of the beep. it does not refer to your experience answering these questions.""","",35,"appraisal;activity"
"36",36,"ik ben actief bezig","i am actively engaged","experience of physical context","","1 (not at all) - 7 (very much)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","this item may require additional explanation, such as: ""this item refers to what you were doing before the moment of the beep. it does not refer to your experience answering these questions. this item can refer to being mentally engaged or physically engaged.""","",36,"appraisal;activity"
"37",37,"waar ben je?","where are you?","physical context","","op school (at school) - thuis (at home) - bij vriend(en) (at friends place) - bij andere familie dan thuis (other family than home) - op de fiets/in de auto/in de bus/in de trein (public transport) - ergens anders binnen (other indoors) – ergens anders buiten (other outdoors)","","","","yes","10","","","","","","yes","","","yes","","","","sigma","olivia kirtley, olivia.kirtley@kuleuven.be","","","","","Kirtley, O. J., Achterhof, R., Hagemann, N., Hermans, K. S. F. M., Hiekkaranta, A. P., Lecei, A., … Myin-Germeys, I. (2021, April 2). Initial cohort characteristics and protocol for SIGMA: An accelerated longitudinal study of environmental factors, inter- and intrapersonal processes, and mental health in adolescence. https://doi.org/10.31234/osf.io/jp2fk","","","phone (study phone given by researchers for the esm period, not participant's own phone), using mobileq app","90 seconds","","","","","","",37,"location"
