item_ID,label,description,english,tag_automated,check2_tag_remove,check2_tag_add,check2_tag_new,edited_by,check1_tag_remove,check1_tag_add
27,ik hoor erbij,experience of social context when in virtual company,i belong with the people i am interacting with,appraisal;social context;social interaction;social support,,,,Milla;Ben,social context;social interaction,
28,ik zou graag virtueel in contact zijn met anderen,experience of being alone and not interacting with others virtually,i would like to be in virtual contact with others,appraisal,,,,Milla;Ben,,
29,hier heb ik zelf voor gekozen,experience of being alone and not interacting with others virtually,this is my choice,appraisal,,,,Milla;Ben,,
30,ik voel me buitengesloten,experience of being alone and not interacting with others virtually,i feel like an outsider,appraisal,,,,Milla;Ben,,
31,wat ben je aan het doen?,physical context,what are you doing?,activity,,,,Milla;Ben,,
32,dit vind ik leuk,experience of physical context,i like this activity,activity;appraisal,,,,Milla;Ben,,
33,ik zou liever iets anders te doen,experience of physical context,i would rather do something else,appraisal,,,,Milla;Ben,,
34,dit is moeilijk voor mij,experience of physical context,this is difficult for me,appraisal,,,,Milla;Ben,,
35,ik kan dit goed,experience of physical context,i am good at this,appraisal,,,,Milla;Ben,,
36,ik ben actief bezig,experience of physical context,i am actively engaged,appraisal,,,,Milla;Ben,,
37,waar ben je?,physical context,where are you?,location,,,,Milla;Ben,,
38,ik ben moe,physiological state,i am tired,fatigue;physical health,,,,Milla;Ben,,
39,ik heb honger,physiological state,i am hungry,physical health,,,,Milla;Ben,,
40,ik voel me niet lekker,physiological state,i feel physically unwell,physical health,,,,Milla;Ben,,
41,ik heb pijn,physiological state,i am in pain,physical health,,,,Milla;Ben,,
42,sinds de vorige beep: heb je eraan gedach om jezelf te verwonden,suicidal ideation / self-harm,since the previous beep: have you considered harming yourself?,self-harm;suicidality,,,,Milla;Ben,suicidality,
43,in welke mate had je tijdens deze gedachten over zelfverwonding de wens om je leven te beïndigen? ,suicidal intent,"during these self-harm thoughts, how much did you wish to end your life?",self-harm;suicidality,,,,Milla;Ben,self-harm,
44,"heb je hiernaar gehandeld door jezelf opzettelijk te verwonden, pijn te doen of te vergiftigen?",suicidal/self-harm behaviour,"have you actually harmed yourself on purpose by injuring yourself, hurting yourself, or poisoning yourself?",self-harm;suicidality,,,,Milla;Ben,suicidality,
45,sinds de vorige beep heb ik het volgende gebruikt,substance use,since the last beep ive used,substance use,,,,Milla;Ben,,
46,deze beep stoorde me,disturbance,this beep disturbed me,methodological,,,,Milla;Ben,,
47,denk aan de belangrijkste situatie voor jou in de komende 2 uur: hoeveel zin heb je in deze situatie?,anticipation of pleasure,think about the most important situation for you in the next 2 hours: how much are you looking forward to this situation?,pleasure,,,,Milla;Ben,,
48,denk aan de belangrijkste situatie voor jou in de komende 2 uur: deze situatie hoort bij de categorie:,anticipation of pleasure,think about the most important situation for you in the next 2 hours: this situation belongs tot he following category:,pleasure;social support,,,,Milla;Ben,social support,
49,ik voel me tevreden,positive affect low arousal,i feel content,arousal;positive affect,,,,Milla;Ben,arousal,
50,ik voel me somber ,negative affect low arousal,i feel down,arousal;negative affect,,,,Milla;Ben,arousal,
51,ik voel me geïrriteerd,negative affect high arousal,i feel irritated,arousal;negative affect,,,,Milla;Ben,arousal,
52,ik voel me opgewekt,positive affect high arousal,i feel cheerful,arousal;positive affect,,,,Milla;Ben,arousal,
53,ik voel me lusteloos,negative affect low arousal,i feel listless,arousal;negative affect,,,,Milla;Ben,arousal,
54,ik voel me onrustig,negative affect high arousal,i feel restless,arousal;negative affect,,,,Milla;Ben,arousal,
55,ik voel me gestrest,stress ,i feel stressed,negative affect;stress,,,,Milla;Ben,,
56,ik voel me energiek,positive affect high arousal,i feel energetic,arousal;positive affect,,,,Milla;Ben,arousal,
57,ik voel me op mijn gemak,n.a.,i feel at ease,positive affect,,,,Milla;Ben,,
58,ik voel me moe,negative affect low arousal,i feel tired,arousal;fatigue;negative affect,,,,Milla;Ben,arousal,
59,"ik ervaar lichamelijk ongemak (bijv. hoofdpijn, rugpijn, duizeligheid, misselijkheid)",physical discomfort / somatization ( lichamelijk ongemak / somatisatie ),"i am experiencing physical discomfort (e.g., headache, backache, dizziness, nausea)",physical health,,,,Milla;Ben,,
60,ik kan me goed concentreren ,concentration,i can concentrate well,attention;cognition,,,,Milla;Ben,,
61,ik voel me zelfverzekerd,self confidence,n.a.,self-esteem,,,,Milla;Ben,,
62,ik ben aan het piekeren,worry / rumination,i am ruminating,rumination;worry,,,,Milla;Ben,,
63,ik heb zin om met mensen te zijn,need for social contact,i want to be with people,,,,,Milla;Ben,,appraisal
64,mijn gedachten over mezelf zijn nu:,negative / positive thoughts,my thoughts about myself are currently …,,,,,Milla;Ben,self-esteen,
65,met wie ben ik op dit moment?,momentary social context,who am i with at this moment:,social context,,,,Milla;Ben,,
66,de afgelopen drie uur was ik lichamelijk actief,physical activity,the past three hours i was physically active,activity,,,,Milla;Ben,,
67,de afgelopen drie uur heb ik op de volgende manier contact gehad met een ander/anderen:,social contact,i have had contact with (an)other(s) in the following way:,,,,,Milla;Ben,,social interaction
68,de afgelopen drie uur heb ik het volgende gedaan: ,daily activities,in the past three hours i have done the following:,,,,,Milla;Ben,,activity
69,denk aan de meest opvallende gebeurtenis of activiteit in de afgelopen drie uur. hoe (on)plezierig was deze gebeurtenis of activiteit?,n.a.,think of the most striking event or activity in the past three hours. how (un)pleasant was this event or activity?,activity;event,,,,Milla;Ben,,
70,hoe heftig was deze gebeurtenis?,n.a.,how impactful was this event?,event,,,,Milla;Ben,,appraisal
71,ik ervaar spanning door iets dat staat te gebeuren in de nabije toekomst,anticipatory stress,i am experiencing tension due to something that will occur in the near future,event;stress;evening,,,,Milla;Ben,,
72,ik heb zin in de rest van de dag,anticipatory reward,i look forward to the rest of the day,pleasure,,,,Milla;Ben,,
73,ik heb zin in morgen,anticipatory reward,i look forward to tomorrow,pleasure;evening,,,,Milla;Ben,,
74,is dit de eerste vragenlijst die u vandaag invult?,n.a.,is this the first questionairre you are completing today?,,,,,Milla;Ben,,
75,ik heb vannacht goed geslapen            ,n.a.,i have slept well last night,,,,,Milla;Ben,,sleep
76,hoeveel sigaretten heeft u gerookt de afgelopen drie uur? ,n.a.,how many cigarettes have you smoked in the past three hours?,substance use,,,,Milla;Ben,,
77,hoeveel koppen koffie en cafeïnehoudende sportdrankjes heeft u gedronken de afgelopen drie uur?,n.a.,how many cups of coffee and glasses of cafeinated sode have you drunk today?,substance use,,,,Milla;Ben,,
78,hoeveel glazen alcohol heeft u vandaag gedronken?,n.a.,how many alcoholic beverages did you drink today?,substance use;evening,,,,Milla;Ben,,
79,is uw dosis antidepressiva veranderd? ,n.a.,n.a.,evening,,,,Milla;Ben,,substance use
80,vul de dosis die u nu gaat gebruiken hier in.,n.a.,n.a.,evening,,,,Milla;Ben,,substance use
81,"noteer hier eventuele opmerkingen: als u opmerkt dat uw stemming veranderd is, of als er iets is dat invloed heeft op uw stemming (bijv. overlijden huisdier, verandering in medicatie, inzichtgevend gesprek).",n.a.,note down any remarks: was there something that influenced your answers?,negative affect,,,,Milla;Ben,negative affect,methodological
82,ik heb goed geslapen,sleep,i slept well ,sleep,,,,Milla;Ben,,
83,op dit moment voel ik me opgewekt,mood,"right now, i feel cheerful",positive affect,,,,Milla;Ben,,
84,op dit moment voel ik me somber,mood,"right now, i feel down",negative affect,,,,Milla;Ben,,
85,op dit moment voel ik me angstig,mood,i feel anxious,anxiety;negative affect;worry,,,,Milla;Ben,worry,
86,op dit moment voel ik me ontspannen,mood,i feel relaxed,positive affect,,,,Milla;Ben,,
87,op dit moment voel ik me geïrriteerd,mood,i feel irritated,negative affect,,,,Milla;Ben,,
88,op dit moment voel ik me gestressed,mood,i feel stressed,negative affect;stress,,,,Milla;Ben,,
89,op dit moment voel ik me tevreden,mood,i feel content,positive affect,,,,Milla;Ben,,
90,op dit moment voel ik me onzeker,mood,i feel insecure,self-esteem,,,,Milla;Ben,,
91,op dit moment voel ik me hoopvol,mood,i feel hopeful,positive affect,,,,Milla;Ben,,
92,op dit moment voel ik me eenzaam,mood,i feel lonely,,,,,Milla;Ben,,negative affect
93,ik ben tevreden met mijzelf ,mood,i am satisfied with myself,positive affect,,,,Milla;Ben,,
94,ik voel me rusteloos,mood,i feel restless,,,,,Milla;Ben,,negative affect
95,ik voel me zelfverzekerd,mood,i feel self-confident,self-esteem,,,,Milla;Ben,,
96,globaal gezien voel ik me nu goed,mood,"globally, i feel well",,,,,Milla;Ben,,positive affect
97,ik ben aan het piekeren,cognition / rumination,i am ruminating,cognition;rumination,,,,Milla;Ben,cognition,
98,ik kan me goed concentreren,cognition / rumination,i am able to concentrate well,cognition;rumination,,,,Milla;Ben,rumination,
99,wat ben ik aan het doen (voor de piep)?,activity,what am i doing (just before the beep)?,activity,,,,Milla;Ben,,
100,dit kan ik goed ,activity,i can do this well,activity,,,,Milla;Ben,,appraisal
101,ik zou liever iets anders doen,activity,i would rather do something else,activity,,,,Milla;Ben,,appraisal
102,deze activiteit is een uitdaging,activity,this activity requires effort,activity,,,,Milla;Ben,,appraisal
103,ik ben fysiek actief,physical activity,"physically, i am active",activity,,,,Milla;Ben,,
104,ik ben moe,physical state,i am tired,fatigue,,,,Milla;Ben,,
105,ik heb pijn,physical state,i am in pain,physical health,,,,Milla;Ben,,
106,ik voel me fysiek niet goed,physical state,i do not feel well,,,,,Milla;Ben,,physical health
107,waar ben ik?,location,where am i?,location,,,,Milla;Ben,,
108,met wie ben ik?,social,who am i with?,social context,,,,Milla;Ben,,
109,bij hoeveel mensen ben ik?,social branching,how many people am i with?,,,,,Milla;Ben,,social context
110,we zijn samen iets aan het doen,social branching,we are doing something together,,,,,Milla;Ben,,social interaction
111,ik vind dit gezelschap aangenaam,social branching,i find the people i am with pleasant,,,,,Milla;Ben,,appraisal
112,ik zou liever alleen zijn,social branching,i would prefer to be alone,,,,,Milla;Ben,,appraisal
113,ik voel me verbonden met de mensen waar ik bij ben,social branching,i feel connected to the people i am with,,,,,Milla;Ben,,appraisal;social support
114,het voelt ok om alleen te zijn,social branching,i feel fine being alone,,,,,Milla;Ben,,appraisal
115,ik zou liever bij anderen zijn,social branching,i would prefer to be with others,,,,,Milla;Ben,,appraisal
116,het is mijn keuze om alleen te zijn op dit moment,social branching,being alone right now is my choice,,,,,Milla;Ben,,appraisal
117,ik voel me buitengesloten,social branching,i feel left out,,,,,Milla;Ben,,appraisal
118,ik heb online contact met anderen op dit moment,social,i am interacting using virtual communication,social interaction,,,,Milla;Ben,,
119,ik vind deze online interactie aangenaam,social branching,i find this virtual interaction pleasant,,,,,Milla;Ben,,appraisal
120,de meeste mensen zouden mijn huidige situatie stressvol vinden,stress,most people would find my current situation stressful,stress,,,,Milla;Ben,,
121,wat was  voor jou de belangrijkste gebeurtenis sinds de laatste piep?,event-related stress,think of the most important event that happened since the last beep. this event was:,event;stress,,,,Milla;Ben,,
122,deze gebeurtenis was:,event-related stress,this event was:,event;stress,,,,Milla;Ben,,
123,sinds de vorige piep gebruikte ik,medication,since the last beep i had/taken,,,,,Milla;Ben,,substance use
124,deze piep stoorde mij,esm disturbance,this beep disturbed me,methodological,,,,Milla;Ben,,
125,het invullen van de vragenlijst heeft vandaag mijn stemming beïnvloed,esm influence mood,filling out the questionnaire has influenced my mood today,,,,,Milla;Ben,,methodological
126,geef aan de hand van het affect rooster aan hoe je je nu voelt,mood,"please indicate, using the affect grid, how you feel right now",,,,,Milla;Ben,,positive affect;negative affect
127,op dit moment voel ik me kwaad,mood,"at the moment, i feel anagry",,,,,Milla;Ben,,negative affect
128,op dit moment voel ik me depressief,mood,"at the moment, i feel depressed",depression,,,,Milla;Ben,,negative affect
129,op dit moment voel ik me angstig,mood,"at the moment, i feel anxious",anxiety;negative affect;worry,,,,Milla;Ben,worry,
130,op dit moment voel ik me gestresseerd,mood,"at the moment, i feel stressed",negative affect;stress,,,,Milla;Ben,,
131,op dit moment voel ik me opgewekt,mood,"at the moment, i feel cheerful",positive affect,,,,Milla;Ben,,
132,op dit moment voel ik me relaxed,mood,"at the moment, i feel relaxed",positive affect,,,,Milla;Ben,,
133,op dit moment ben ik ontgoocheld in mezelf,disappointment self,"at the moment, i am disappointed in myself",,,,,Milla;Ben,,negative affect;self-esteem
134,op dit moment ben ik ontgoocheld in iemand anders,disappointment others,"at the moment, i am disappointed in someone else",,,,,Milla;Ben,,negative affect
135,op dit moment heb ik vertrouwen in mezelf,trust self,"at the moment, i have trust in myself",,,,,Milla;Ben,,self-esteem
136,op dit moment heb ik vertrouwen in iemand anders,trust others,"at the moment, i have trust in someone else",,,,,Milla;Ben,,
137,sinds de vorige beep heb ik geautomutileerd,nssi,"since the previous, i have automutilated",,,,,Milla;Ben,,self-harm
138,sinds de vorige beep heb ik de drang gevoeld om te automutileren?,nssi,"since the previous beep, i have felt the urge to automutilate",,,,,Milla;Ben,,self-harm
139,sinds de vorige beep heb ik zitten piekeren,emotion regulation,"since the previous beep, i have been ruminating",emotion regulation;rumination,,,,Milla;Ben,,
140,sinds de vorige beep heb ik rustig kunnen nadenken over mijn problemen  ,emotion regulation,"since the previous beep, i have been reflecting on my problems",emotion regulation,,,,Milla;Ben,,
141,denk aan wat er nu je gevoel bepaalt. in welke mate is dit belangrijk voor jou?,emotional appraisals,think about what determines your emotions right now. to which extent is this important  to you?,appraisal,,,,Milla;Ben,,
142,denk aan wat er nu je gevoel bepaalt. in welke mate is dit positief of negatief voor jou?,emotional appraisals,think about what determines your emotions right now. to which extent is this positive or negative to you?,appraisal,,,,Milla;Ben,,
143,denk aan wat er nu je gevoel bepaalt. in welke mate denk je dat je er emotioneel mee kan omgaan? ,emotional appraisals,think about what determines your emotions right now. to which extent do you feel your can emotionally cope with it?,appraisal;coping,,,,Milla;Ben,,
144,op dit moment zijn mijn gedachten… ,rumination,"at this moment, my thoughts are… ",rumination,,,,Milla;Ben,,
145,"op dit moment, was de focus van mijn gedachten ",ruminatinon,"at this moment, the focus of my thoughts is",attention;rumination,,,,Milla;Ben,,
146,dit is een terugkerende gedachte,rumination,this is a repetitive thought,rumination,,,,Milla;Ben,,
147,"op dit moment, voel ik me ontspannen",mood ,"at this moment, i feel relaxed",positive affect,,,,Milla;Ben,,
148,"op dit moment, voel ik me tevreden",mood,"at this moment, i feel satisfied",positive affect,,,,Milla;Ben,,
149,"op dit moment, voel ik me opgewekt",mood ,"at this moment, i feel cheerful",positive affect,,,,Milla;Ben,,
150,"op dit moment, voel ik me gestrest",mood / stress,"at this moment, i feel stressed",negative affect;stress,,,,Milla;Ben,,
151,"op dit moment, voel ik me schaam ik mij",mood,"at this moment, i feel ashamed",,,,,Milla;Ben,,negative affect
152,"op dit moment, voel ik me angstig",mood,"at this moment, i feel anxious",anxiety;negative affect;worry,,,,Milla;Ben,worry,
153,"op dit moment, maak ik me zorgen",mood,"at this moment, i feel worried",anxiety;worry,,,,Milla;Ben,,negative affect
154,"op dit moment, voel ik me geïrriteerd",mood,"at this moment, i feel annoyed",,,,,Milla;Ben,,negative affect
155,"op dit moment, voel ik me somber",mood,"at this moment, i feel down",negative affect,,,,Milla;Ben,,
156,"op dit moment, voel ik me gespannen",mood / stress,"at this moment, i feel tense",stress,,,,Milla;Ben,,negative affect
157,"op dit moment, voel ik me rusteloos",mood,"at this moment, i feel restless",,,,,Milla;Ben,,negative affect
158,"op dit moment, voel ik me zelfverzekerd",mood,"at this moment, i feel confident",self-esteem,,,,Milla;Ben,,
159,"op dit moment, voel ik me in controle",mood / stress,"at this moment, i feel in control",stress,,,,Milla;Ben,stress,appraisal
160,"op dit moment, sta ik onder druk",mood / stress,"at this moment, i feel under pressure",stress,,,,Milla;Ben,,
161,"op dit moment, heb ik pijn",physical,"at this moment, i am in pain",physical health,,,,Milla;Ben,,
162,"op dit moment, heb ik honger",physical,"at this moment, i am hungry",physical health,,,,Milla;Ben,,
163,"op dit moment, ben ik moe",physical,"at this moment, im tired",fatigue,,,,Milla;Ben,,
164,wat ben ik aan het doen (voor de beep)? (meer dan één antwoord mogelijk),activity,what am i doing (at the time of the beep)? (more than one answer possible),activity,,,,Milla;Ben,,
165,ik ben mij mentaal aan het inspannen,activity / task engagement,i am making mental effort,activity,,,,Milla;Ben,activity,appraisal
166,ik ben mij fysiek aan het inspannen,activity / task engagement,i am making physical effort,activity,,,,Milla;Ben,,appraisal
167,waar ben ik?,activity,where am i?,activity;location,,,,Milla;Ben,activity,
168,met wie ben ik?,social, with whom am i?,,,,,Milla;Ben,,social context
169,[if in company ]ik vind dit gezelschap aangenaam.,social,[if in company] i like this company.,,,,,Milla;Ben,,appraisal
170,[if alone] het voelt ok om alleen te zijn.,social,[if alone] it feels ok to be alone.,,,,,Milla;Ben,,appraisal
171,[if in company] ik zou liever alleen zijn.,social,[if in company] i would rather be alone.,,,,,Milla;Ben,,appraisal
172,[if alone] ik zou liever met anderen zijn. ,social,[if alone] i would rather be with others.,,,,,Milla;Ben,,appraisal
173,"op dit moment, voel ik me beoordeeld",social,"at this moment, i feel judged",,,,,Milla;Ben,,appraisal
174,"denk nu aan je situatie op dit moment (wat je aan het doen bent, waar je bent, en met wie je bent)",,"think about your current situation (what you are doing, where you are, and who you are with)",location,,,,Milla;Ben,location,
175,deze situatie is,cognitive appraisal,this is a pleasant situation,appraisal;cognition,,,,Milla;Ben,cognition,
176,ik heb het gevoel dat deze situatie een negatief effect op mij zou kunnen hebben,cognitive appraisal,i feel like this could have a negative effect on me,appraisal;cognition,,,,Milla;Ben,cognition,
177,deze situatie is belangrijk voor mij,cognitive appraisal,this situation is important to me,appraisal;cognition,,,,Milla;Ben,cognition,
178,denk nu aan de belangrijkste gebeurtenis sinds de laatste beep. deze gebeurtenis was…,,think about the most important event for you since the last beep. this event was...,event,,,,Milla;Ben,,appraisal
179,hieronder volgt een lijst met gebeurtenissen die als plezierig kunnen worden ervaren. geef aan welke zich hebben voorgedaan sinds de vorige beep:,positive event,below is a list of events that people find enjoyable. what positive events took place in the past three hours?,event;location,,,,Milla;Ben,location,
180,[if an event has occurred in q.41] hoe plezierig waren deze positieve gebeurtenissen bij elkaar?,positive event,how pleasant were the positive events together?,event,,,,Milla;Ben,,appraisal
181,hieronder volgt een lijst met gebeurtenissen die als stressvol kunnen worden ervaren. geef aan welke zich hebben voorgedaan sinds de laatste beep: ,stressful event,the following is a list of situations that can be experienced as stressful by some people. indicate which have occurred since the last beep:,event;stress,,,,Milla;Ben,,
182,[if an even has occurred] hoe stressvol waren deze gebeurtenissen bij elkaar?,stressful event,[if an even has occurred] how stressful was this for you?,event;stress,,,,Milla;Ben,,
183,hoe ben je met deze gebeurtenis(sen) omgegaan? ,,"since the last beep, to what extent...",,,,,Milla;Ben,,
184,ik bleef erover nadenken,coping,i kept thinking about it,coping,,,,Milla;Ben,,rumination;emotion regulation
185,ik heb geprobeerd een oplossing te vinden,coping,i have tried to find a solution,coping,,,,Milla;Ben,,emotion regulation
186,ik heb geprobeerd het te vermijden of mezelf af te leiden,coping,have i tried to distract my attention from my emotions?,attention;cognition;coping,,,,Milla;Ben,,emotion regulation
187,ik heb mijn emoties geuit,coping,have i tried to suppress the expression of my emotions?,coping,,,,Milla;Ben,,emotion regulation
188,ik heb het er met iemand over gehad,coping,have i talked to others about my emotions?,coping,,,,Milla;Ben,,emotion regulation
189,ik heb geprobeerd het te accepteren of er op een andere manier naar te kijken,coping,have i tried to look at my problems in a different way?,coping,,,,Milla;Ben,,emotion regulation
190,ik kon er mee omgaan,coping,have i felt that i can deal with my current situation?,coping,,,,Milla;Ben,,emotion regulation
191,bleef ik maar over een probleem van mij denken,coping,i kept thinking about a problem of mine,coping,,,,Milla;Ben,,rumination;emotion regulation
192,heb ik geprobeerd om een oplossing te vinden voor een probleem van mij,coping,i tried to find a solution for a problem of mine,coping,,,,Milla;Ben,,emotion regulation
193,heb ik geprobeerd een probleem van mij te vermijden of mijzelf af te leiden,coping,have i tried to distract my attention from my emotions?,attention;cognition;coping,,,,Milla;Ben,,emotion regulation
194,heb ik mijn emoties geuit vanwege een probleem van mij,coping,have i tried to suppress the expression of my emotions?,coping,,,,Milla;Ben,,emotion regulation
195,heb ik het met iemand over een probleem van mij gehad,coping,have i talked to others about my emotions?,coping,,,,Milla;Ben,,emotion regulation
196,heb ik geprobeerd om een probleem van mij te accepteren of er op een andere manier naar te kijken,coping,have i tried to look at my problems in a different way?,coping,,,,Milla;Ben,,emotion regulation
197,ik kon met mijn probleem omgaan,coping,have i felt that i can deal with my current situation?,coping,,,,Milla;Ben,,emotion regulation
198,sinds de vorige beep heb ik me lichamelijk ingespannen,physical activity,"since the previous beep, i have been physically active",activity,,,,Milla;Ben,,
199,sinds de vorige piep gebruikte ik..,use,"since the last beep, i used..",substance use,,,,Milla;Ben,,
200,deze beep stoorde mij ,beep disturbance,this beep disturbed me ,methodological,,,,Milla;Ben,,
201,hoe lang duurde het voordat ik gisterenavond insliep? ,fall asleep time,how long did it take before i fell asleep last night? ,sleep;morning,,,,Milla;Ben,,
202,hoe vaak werd ik afgelopen nacht wakker?,,how often did i wake up last night?,morning,,,,Milla;Ben,,sleep
203,hoe lang lag ik vanmorgen wakker voordat ik opstond? ,,how long was i awake this morning before i got up?,arousal;morning,,,,Milla;Ben,arousal,
204,ik heb goed geslapen,,i slept well i slept well ,morning,,,,Milla;Ben,,sleep
205,ik heb zin in deze dag,,i am looking forward to this day,morning,,,,Milla;Ben,,appraisal
206,ik vond dit een gewone dag ,,i thought this was an ordinary day ,evening,,,,Milla;Ben,,appraisal
207,deze dag was..  ,,this day was...  ,evening,,,,Milla;Ben,,appraisal
208,hoe gestresseerd voel je je op dit moment?,mood,how stressed do you feel at the moment?,negative affect;stress,,,,Milla;Ben,,
209,hoe depressief voel je je op dit moment?,mood,how depressed do you feel at the moment?,depression,,,,Milla;Ben,,negative affect
210,hoe euforisch voel je je op dit moment?,mood,how euphoric do you feel at the moment?,,,,,Milla;Ben,,positive affect
211,hoe opgewekt voel je je op dit moment?,mood,how happy do you feel at the moment?,positive affect,,,,Milla;Ben,,
212,hoe relaxed voel je je op dit moment?,mood,how relaxed do you feel at the moment?,positive affect,,,,Milla;Ben,,
213,hoe angstig voel je je op dit moment?,mood,how anxious do you feel at the moment?,anxiety;negative affect;worry,,,,Milla;Ben,worry,
214,hoe kwaad voel je je op dit moment?,mood,how angry do you feel at the moment?,negative affect,,,,Milla;Ben,,
215,in welke mate heb je op dit moment een goede verstandhouding met anderen?,borderline symptom,to what degree do you have a good relationship with others at the moment?,symptom,,,,Milla;Ben,,appraisal
216,"sinds de vorige beep, in welke mate deed je dingen zonder er goed over na te denken?",borderline symptom,"since the last beep, to what degree did you do things without carefully planning?",symptom,,,,Milla;Ben,,appraisal
217,in welke mate ben je op dit moment bang om door anderen in de steek gelaten te worden?,borderline symptom,to what degree are you scared  others will abandon you at the moment?,symptom,,,,Milla;Ben,,appraisal
218,heb je sinds de vorige beep geautomutileerd?,borderline symptom,"since the last beep, did you self-injure yourself?",symptom,,,,Milla;Ben,,self-harm
219,in welke mate vind je het op dit moment moeilijk om plezier te beleven aan activiteiten?,depression symptom,to what degree do you find it difficult to experience pleasure in activities at the moment?,depression;pleasure;symptom,,,,Milla;Ben,,
220,in welke mate vind je het op dit moment moeilijk om je  te concentreren?,depression symptom,to what degree do you find it difficult to concentrate at the moment?,cognition;depression;symptom,,,,Milla;Ben,,
221,hoeveel zelfvertrouwen heb je op dit moment? ,depression symptom,how self-confident are you at the moment?,depression;self-esteem;symptom,,,,Milla;Ben,,
222,hoe rusteloos voel je je op dit moment?,depression symptom,how restless do you feel at the moment?,depression;symptom,,,,Milla;Ben,,
223,hoeveel druk voel je op dit moment van je omgeving om je niet angstig of depressief te voelen? ,social pressure,how much pressure do you perceive from your environment to avoid feelings of anxiety or depression at the moment?,anxiety;avoidance;depression;location;stress,,,,Milla;Ben,anxiety;depression;location;stress,appraisal
224,is er sinds de vorige beep iets positief gebeurd?,context,did something positive happen since the last beep?,event,,,,Milla;Ben,,
225,is er sinds de vorige beep iets negatief gebeurd?,context,did something negative happen since the last beep?,event,,,,Milla;Ben,,
226,met wie ben je nu?,context,who are you with at the moment?,social context,,,,Milla;Ben,,
227,welk soort activiteit was je net aan het doen? ,context,what kind of activity were you doing at the moment?,activity,,,,Milla;Ben,,
228,"sinds de vorige beep, in welke mate heb je zitten piekeren?",emotion regulation,"since the last beep, to what degree were you ruminating?",emotion regulation;rumination,,,,Milla;Ben,,
229,"sinds de vorige beep, in welke mate heb je je aandacht van je emoties proberen af te leiden?",emotion regulation item,"since the last beep, to what degree were you distracting yourself from you emotions?",attention;emotion regulation,,,,Milla;Ben,,
230,"sinds de vorige beep, in welke mate heb je het uiten van je emoties proberen te onderdrukken?",emotion regulation,"since the last beep, to what degree did you try to supress the expression of your emotions?",emotion regulation,,,,Milla;Ben,,
231,"sinds de vorige beep, in welke mate heb je met anderen over je emoties gepraat?",emotion regulation item,"since the last beep, to what degree did you talk with others about your emotions? ",emotion regulation,,,,Milla;Ben,,
