"","item_ID","label","description","english","tag_automated","check1_tag_remove","check1_tag_add","tag_automated_check1","check2_tag_remove","check2_tag_add","check2_tag_new","edited_by","tag_final"
"60",60,"ik kan me goed concentreren ","concentration","i can concentrate well","attention;cognition","","","attention;cognition","","","","Milla;Ben","attention;cognition"
"61",61,"ik voel me zelfverzekerd","self confidence","n.a.","self-esteem","","","self-esteem","","","","Milla;Ben","self-esteem"
"62",62,"ik ben aan het piekeren","worry / rumination","i am ruminating","rumination;worry","","","rumination;worry","","","","Milla;Ben","rumination;worry"
"63",63,"ik heb zin om met mensen te zijn","need for social contact","i want to be with people","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"64",64,"mijn gedachten over mezelf zijn nu:","negative / positive thoughts","my thoughts about myself are currently …","","self-esteen","","","","","","Milla;Ben",""
"65",65,"met wie ben ik op dit moment?","momentary social context","who am i with at this moment:","social context","","","social context","","","","Milla;Ben","social context"
"66",66,"de afgelopen drie uur was ik lichamelijk actief","physical activity","the past three hours i was physically active","activity","","","activity","","","","Milla;Ben","activity"
"67",67,"de afgelopen drie uur heb ik op de volgende manier contact gehad met een ander/anderen:","social contact","i have had contact with (an)other(s) in the following way:","","","social interaction","social interaction","","","","Milla;Ben","social interaction"
"68",68,"de afgelopen drie uur heb ik het volgende gedaan: ","daily activities","in the past three hours i have done the following:","","","activity","activity","","","","Milla;Ben","activity"
"69",69,"denk aan de meest opvallende gebeurtenis of activiteit in de afgelopen drie uur. hoe (on)plezierig was deze gebeurtenis of activiteit?","n.a.","think of the most striking event or activity in the past three hours. how (un)pleasant was this event or activity?","activity;event","","","activity;event","","","","Milla;Ben","activity;event"
"70",70,"hoe heftig was deze gebeurtenis?","n.a.","how impactful was this event?","event","","appraisal","event;appraisal","","","","Milla;Ben","event;appraisal"
"71",71,"ik ervaar spanning door iets dat staat te gebeuren in de nabije toekomst","anticipatory stress","i am experiencing tension due to something that will occur in the near future","event;stress;evening","","","event;stress","","","","Milla;Ben","event;stress"
"72",72,"ik heb zin in de rest van de dag","anticipatory reward","i look forward to the rest of the day","pleasure","","","pleasure","","","","Milla;Ben","pleasure"
"73",73,"ik heb zin in morgen","anticipatory reward","i look forward to tomorrow","pleasure;evening","","","pleasure","","","","Milla;Ben","pleasure"
"74",74,"is dit de eerste vragenlijst die u vandaag invult?","n.a.","is this the first questionairre you are completing today?","","","","","","","","Milla;Ben",""
"75",75,"ik heb vannacht goed geslapen            ","n.a.","i have slept well last night","","","sleep","sleep","","","","Milla;Ben","sleep"
"76",76,"hoeveel sigaretten heeft u gerookt de afgelopen drie uur? ","n.a.","how many cigarettes have you smoked in the past three hours?","substance use","","","substance use","","","","Milla;Ben","substance use"
"77",77,"hoeveel koppen koffie en cafeïnehoudende sportdrankjes heeft u gedronken de afgelopen drie uur?","n.a.","how many cups of coffee and glasses of cafeinated sode have you drunk today?","substance use","","","substance use","","","","Milla;Ben","substance use"
"78",78,"hoeveel glazen alcohol heeft u vandaag gedronken?","n.a.","how many alcoholic beverages did you drink today?","substance use;evening","","","substance use","","","","Milla;Ben","substance use"
"79",79,"is uw dosis antidepressiva veranderd? ","n.a.","n.a.","evening","","substance use","substance use","","","","Milla;Ben","substance use"
"80",80,"vul de dosis die u nu gaat gebruiken hier in.","n.a.","n.a.","evening","","substance use","substance use","","","","Milla;Ben","substance use"
"81",81,"noteer hier eventuele opmerkingen: als u opmerkt dat uw stemming veranderd is, of als er iets is dat invloed heeft op uw stemming (bijv. overlijden huisdier, verandering in medicatie, inzichtgevend gesprek).","n.a.","note down any remarks: was there something that influenced your answers?","negative affect","negative affect","methodological","methodological","","","","Milla;Ben","methodological"
"82",82,"ik heb goed geslapen","sleep","i slept well ","sleep","","","sleep","","","","Milla;Ben","sleep"
"83",83,"op dit moment voel ik me opgewekt","mood","right now, i feel cheerful","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"84",84,"op dit moment voel ik me somber","mood","right now, i feel down","negative affect","","","negative affect","","","","Milla;Ben","negative affect"
"85",85,"op dit moment voel ik me angstig","mood","i feel anxious","anxiety;negative affect;worry","worry","","anxiety;negative affect","","","","Milla;Ben","anxiety;negative affect"
"86",86,"op dit moment voel ik me ontspannen","mood","i feel relaxed","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"87",87,"op dit moment voel ik me geïrriteerd","mood","i feel irritated","negative affect","","","negative affect","","","","Milla;Ben","negative affect"
"88",88,"op dit moment voel ik me gestressed","mood","i feel stressed","negative affect;stress","","","negative affect;stress","","","","Milla;Ben","negative affect;stress"
"89",89,"op dit moment voel ik me tevreden","mood","i feel content","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"90",90,"op dit moment voel ik me onzeker","mood","i feel insecure","self-esteem","","","self-esteem","","","","Milla;Ben","self-esteem"
"91",91,"op dit moment voel ik me hoopvol","mood","i feel hopeful","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"92",92,"op dit moment voel ik me eenzaam","mood","i feel lonely","","","negative affect","negative affect","","","","Milla;Ben","negative affect"
"93",93,"ik ben tevreden met mijzelf ","mood","i am satisfied with myself","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"94",94,"ik voel me rusteloos","mood","i feel restless","","","negative affect","negative affect","","","","Milla;Ben","negative affect"
"95",95,"ik voel me zelfverzekerd","mood","i feel self-confident","self-esteem","","","self-esteem","","","","Milla;Ben","self-esteem"
"96",96,"globaal gezien voel ik me nu goed","mood","globally, i feel well","","","positive affect","positive affect","","","","Milla;Ben","positive affect"
"97",97,"ik ben aan het piekeren","cognition / rumination","i am ruminating","cognition;rumination","cognition","","rumination","","","","Milla;Ben","rumination"
"98",98,"ik kan me goed concentreren","cognition / rumination","i am able to concentrate well","cognition;rumination","rumination","","cognition","","","","Milla;Ben","cognition"
"99",99,"wat ben ik aan het doen (voor de piep)?","activity","what am i doing (just before the beep)?","activity","","","activity","","","","Milla;Ben","activity"
"100",100,"dit kan ik goed ","activity","i can do this well","activity","","appraisal","activity;appraisal","","","","Milla;Ben","activity;appraisal"
"101",101,"ik zou liever iets anders doen","activity","i would rather do something else","activity","","appraisal","activity;appraisal","","","","Milla;Ben","activity;appraisal"
"102",102,"deze activiteit is een uitdaging","activity","this activity requires effort","activity","","appraisal","activity;appraisal","","","","Milla;Ben","activity;appraisal"
"103",103,"ik ben fysiek actief","physical activity","physically, i am active","activity","","","activity","","","","Milla;Ben","activity"
"104",104,"ik ben moe","physical state","i am tired","fatigue","","","fatigue","","negative affect","","Milla;Ben","fatigue;negative affect"
"105",105,"ik heb pijn","physical state","i am in pain","physical health","","","physical health","","","","Milla;Ben","physical health"
"106",106,"ik voel me fysiek niet goed","physical state","i do not feel well","","","physical health","physical health","","","","Milla;Ben","physical health"
"107",107,"waar ben ik?","location","where am i?","location","","","location","","","","Milla;Ben","location"
"108",108,"met wie ben ik?","social","who am i with?","social context","","","social context","","","","Milla;Ben","social context"
"109",109,"bij hoeveel mensen ben ik?","social branching","how many people am i with?","","","social context","social context","","","","Milla;Ben","social context"
"110",110,"we zijn samen iets aan het doen","social branching","we are doing something together","","","social interaction","social interaction","","activity","","Milla;Ben","social interaction;activity"
"111",111,"ik vind dit gezelschap aangenaam","social branching","i find the people i am with pleasant","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"112",112,"ik zou liever alleen zijn","social branching","i would prefer to be alone","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"113",113,"ik voel me verbonden met de mensen waar ik bij ben","social branching","i feel connected to the people i am with","","","appraisal;social support","","","appraisal;social support","social experience","Milla;Ben","appraisal;social support"
"114",114,"het voelt ok om alleen te zijn","social branching","i feel fine being alone","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"115",115,"ik zou liever bij anderen zijn","social branching","i would prefer to be with others","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"116",116,"het is mijn keuze om alleen te zijn op dit moment","social branching","being alone right now is my choice","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"117",117,"ik voel me buitengesloten","social branching","i feel left out","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"118",118,"ik heb online contact met anderen op dit moment","social","i am interacting using virtual communication","social interaction","","","social interaction","","","","Milla;Ben","social interaction"
"119",119,"ik vind deze online interactie aangenaam","social branching","i find this virtual interaction pleasant","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"120",120,"de meeste mensen zouden mijn huidige situatie stressvol vinden","stress","most people would find my current situation stressful","stress","","","stress","","","","Milla;Ben","stress"
"121",121,"wat was  voor jou de belangrijkste gebeurtenis sinds de laatste piep?","event-related stress","think of the most important event that happened since the last beep. this event was:","event;stress","","","event;stress","","","","Milla;Ben","event;stress"
"122",122,"deze gebeurtenis was:","event-related stress","this event was:","event;stress","","","event;stress","","","","Milla;Ben","event;stress"
"123",123,"sinds de vorige piep gebruikte ik","medication","since the last beep i had/taken","","","substance use","substance use","","","","Milla;Ben","substance use"
"124",124,"deze piep stoorde mij","esm disturbance","this beep disturbed me","methodological","","","methodological","","","","Milla;Ben","methodological"
"125",125,"het invullen van de vragenlijst heeft vandaag mijn stemming beïnvloed","esm influence mood","filling out the questionnaire has influenced my mood today","","","methodological","methodological","","","","Milla;Ben","methodological"
"126",126,"geef aan de hand van het affect rooster aan hoe je je nu voelt","mood","please indicate, using the affect grid, how you feel right now","","","positive affect;negative affect","","","positive affect;negative affect","","Milla;Ben","positive affect;negative affect"
"127",127,"op dit moment voel ik me kwaad","mood","at the moment, i feel anagry","","","negative affect","negative affect","","","","Milla;Ben","negative affect"
"128",128,"op dit moment voel ik me depressief","mood","at the moment, i feel depressed","depression","","negative affect","depression;negative affect","","","","Milla;Ben","depression;negative affect"
"129",129,"op dit moment voel ik me angstig","mood","at the moment, i feel anxious","anxiety;negative affect;worry","worry","","anxiety;negative affect","","","","Milla;Ben","anxiety;negative affect"
"130",130,"op dit moment voel ik me gestresseerd","mood","at the moment, i feel stressed","negative affect;stress","","","negative affect;stress","","","","Milla;Ben","negative affect;stress"
"131",131,"op dit moment voel ik me opgewekt","mood","at the moment, i feel cheerful","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"132",132,"op dit moment voel ik me relaxed","mood","at the moment, i feel relaxed","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"133",133,"op dit moment ben ik ontgoocheld in mezelf","disappointment self","at the moment, i am disappointed in myself","","","negative affect;self-esteem","","","","","Milla;Ben",""
"134",134,"op dit moment ben ik ontgoocheld in iemand anders","disappointment others","at the moment, i am disappointed in someone else","","","negative affect","negative affect","","","","Milla;Ben","negative affect"
"135",135,"op dit moment heb ik vertrouwen in mezelf","trust self","at the moment, i have trust in myself","","","self-esteem","self-esteem","","","","Milla;Ben","self-esteem"
"136",136,"op dit moment heb ik vertrouwen in iemand anders","trust others","at the moment, i have trust in someone else","","","","","","social support","trust","Milla;Ben","social support"
"137",137,"sinds de vorige beep heb ik geautomutileerd","nssi","since the previous, i have automutilated","","","self-harm","self-harm","","","","Milla;Ben","self-harm"
"138",138,"sinds de vorige beep heb ik de drang gevoeld om te automutileren?","nssi","since the previous beep, i have felt the urge to automutilate","","","self-harm","self-harm","","","","Milla;Ben","self-harm"
"139",139,"sinds de vorige beep heb ik zitten piekeren","emotion regulation","since the previous beep, i have been ruminating","emotion regulation;rumination","","","emotion regulation;rumination","","","","Milla;Ben","emotion regulation;rumination"
"140",140,"sinds de vorige beep heb ik rustig kunnen nadenken over mijn problemen  ","emotion regulation","since the previous beep, i have been reflecting on my problems","emotion regulation","","","emotion regulation","","","","Milla;Ben","emotion regulation"
"141",141,"denk aan wat er nu je gevoel bepaalt. in welke mate is dit belangrijk voor jou?","emotional appraisals","think about what determines your emotions right now. to which extent is this important  to you?","appraisal","","","appraisal","","","","Milla;Ben","appraisal"
"142",142,"denk aan wat er nu je gevoel bepaalt. in welke mate is dit positief of negatief voor jou?","emotional appraisals","think about what determines your emotions right now. to which extent is this positive or negative to you?","appraisal","","","appraisal","","","","Milla;Ben","appraisal"
"143",143,"denk aan wat er nu je gevoel bepaalt. in welke mate denk je dat je er emotioneel mee kan omgaan? ","emotional appraisals","think about what determines your emotions right now. to which extent do you feel your can emotionally cope with it?","appraisal;coping","","","appraisal;coping","","","","Milla;Ben","appraisal;coping"
"144",144,"op dit moment zijn mijn gedachten… ","rumination","at this moment, my thoughts are… ","rumination","","","rumination","","","","Milla;Ben","rumination"
"145",145,"op dit moment, was de focus van mijn gedachten ","ruminatinon","at this moment, the focus of my thoughts is","attention;rumination","","","attention;rumination","","","","Milla;Ben","attention;rumination"
"146",146,"dit is een terugkerende gedachte","rumination","this is a repetitive thought","rumination","","","rumination","","","","Milla;Ben","rumination"
"147",147,"op dit moment, voel ik me ontspannen","mood ","at this moment, i feel relaxed","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"148",148,"op dit moment, voel ik me tevreden","mood","at this moment, i feel satisfied","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"149",149,"op dit moment, voel ik me opgewekt","mood ","at this moment, i feel cheerful","positive affect","","","positive affect","","","","Milla;Ben","positive affect"
"150",150,"op dit moment, voel ik me gestrest","mood / stress","at this moment, i feel stressed","negative affect;stress","","","negative affect;stress","","","","Milla;Ben","negative affect;stress"
"151",151,"op dit moment, voel ik me schaam ik mij","mood","at this moment, i feel ashamed","","","negative affect","negative affect","","","","Milla;Ben","negative affect"
"152",152,"op dit moment, voel ik me angstig","mood","at this moment, i feel anxious","anxiety;negative affect;worry","worry","","anxiety;negative affect","","","","Milla;Ben","anxiety;negative affect"
"153",153,"op dit moment, maak ik me zorgen","mood","at this moment, i feel worried","anxiety;worry","","negative affect","anxiety;worry;negative affect","anxiety;worry;negative affect","anxiety;negative affect","","Milla;Ben","anxiety;negative affect"
"154",154,"op dit moment, voel ik me geïrriteerd","mood","at this moment, i feel annoyed","","","negative affect","negative affect","","","","Milla;Ben","negative affect"
"155",155,"op dit moment, voel ik me somber","mood","at this moment, i feel down","negative affect","","","negative affect","","","","Milla;Ben","negative affect"
"156",156,"op dit moment, voel ik me gespannen","mood / stress","at this moment, i feel tense","stress","","negative affect","stress;negative affect","","","","Milla;Ben","stress;negative affect"
"157",157,"op dit moment, voel ik me rusteloos","mood","at this moment, i feel restless","","","negative affect","negative affect","","","","Milla;Ben","negative affect"
"158",158,"op dit moment, voel ik me zelfverzekerd","mood","at this moment, i feel confident","self-esteem","","","self-esteem","","","","Milla;Ben","self-esteem"
"159",159,"op dit moment, voel ik me in controle","mood / stress","at this moment, i feel in control","stress","stress","appraisal","appraisal","","","","Milla;Ben","appraisal"
"160",160,"op dit moment, sta ik onder druk","mood / stress","at this moment, i feel under pressure","stress","","","stress","","","","Milla;Ben","stress"
"161",161,"op dit moment, heb ik pijn","physical","at this moment, i am in pain","physical health","","","physical health","","","","Milla;Ben","physical health"
"162",162,"op dit moment, heb ik honger","physical","at this moment, i am hungry","physical health","","","physical health","","","","Milla;Ben","physical health"
"163",163,"op dit moment, ben ik moe","physical","at this moment, im tired","fatigue","","","fatigue","","negative affect","","Milla;Ben","fatigue;negative affect"
"164",164,"wat ben ik aan het doen (voor de beep)? (meer dan één antwoord mogelijk)","activity","what am i doing (at the time of the beep)? (more than one answer possible)","activity","","","activity","","","","Milla;Ben","activity"
"165",165,"ik ben mij mentaal aan het inspannen","activity / task engagement","i am making mental effort","activity","activity","appraisal","appraisal","","activity","","Milla;Ben","appraisal;activity"
"166",166,"ik ben mij fysiek aan het inspannen","activity / task engagement","i am making physical effort","activity","","appraisal","activity;appraisal","","","","Milla;Ben","activity;appraisal"
"167",167,"waar ben ik?","activity","where am i?","activity;location","activity","","location","","","","Milla;Ben","location"
"168",168,"met wie ben ik?","social"," with whom am i?","","","social context","social context","","","","Milla;Ben","social context"
"169",169,"[if in company ]ik vind dit gezelschap aangenaam.","social","[if in company] i like this company.","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"170",170,"[if alone] het voelt ok om alleen te zijn.","social","[if alone] it feels ok to be alone.","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"171",171,"[if in company] ik zou liever alleen zijn.","social","[if in company] i would rather be alone.","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"172",172,"[if alone] ik zou liever met anderen zijn. ","social","[if alone] i would rather be with others.","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"173",173,"op dit moment, voel ik me beoordeeld","social","at this moment, i feel judged","","","appraisal","appraisal","","","social experience","Milla;Ben","appraisal"
"174",174,"denk nu aan je situatie op dit moment (wat je aan het doen bent, waar je bent, en met wie je bent)","","think about your current situation (what you are doing, where you are, and who you are with)","location","location","","","","","","Milla;Ben",""
"175",175,"deze situatie is","cognitive appraisal","this is a pleasant situation","appraisal;cognition","cognition","","appraisal","","","","Milla;Ben","appraisal"
"176",176,"ik heb het gevoel dat deze situatie een negatief effect op mij zou kunnen hebben","cognitive appraisal","i feel like this could have a negative effect on me","appraisal;cognition","cognition","","appraisal","","","","Milla;Ben","appraisal"
"177",177,"deze situatie is belangrijk voor mij","cognitive appraisal","this situation is important to me","appraisal;cognition","cognition","","appraisal","","","","Milla;Ben","appraisal"
"178",178,"denk nu aan de belangrijkste gebeurtenis sinds de laatste beep. deze gebeurtenis was…","","think about the most important event for you since the last beep. this event was...","event","","appraisal","event;appraisal","","","","Milla;Ben","event;appraisal"
"179",179,"hieronder volgt een lijst met gebeurtenissen die als plezierig kunnen worden ervaren. geef aan welke zich hebben voorgedaan sinds de vorige beep:","positive event","below is a list of events that people find enjoyable. what positive events took place in the past three hours?","event;location","location","","event","","","","Milla;Ben","event"
"180",180,"[if an event has occurred in q.41] hoe plezierig waren deze positieve gebeurtenissen bij elkaar?","positive event","how pleasant were the positive events together?","event","","appraisal","event;appraisal","","","","Milla;Ben","event;appraisal"
"181",181,"hieronder volgt een lijst met gebeurtenissen die als stressvol kunnen worden ervaren. geef aan welke zich hebben voorgedaan sinds de laatste beep: ","stressful event","the following is a list of situations that can be experienced as stressful by some people. indicate which have occurred since the last beep:","event;stress","","","event;stress","","","","Milla;Ben","event;stress"
"182",182,"[if an even has occurred] hoe stressvol waren deze gebeurtenissen bij elkaar?","stressful event","[if an even has occurred] how stressful was this for you?","event;stress","","","event;stress","","","","Milla;Ben","event;stress"
"183",183,"hoe ben je met deze gebeurtenis(sen) omgegaan? ","","since the last beep, to what extent...","","","","","","","","Milla;Ben",""
"184",184,"ik bleef erover nadenken","coping","i kept thinking about it","coping","","rumination;emotion regulation","coping;rumination;emotion regulation","","","","Milla;Ben","coping;rumination;emotion regulation"
"185",185,"ik heb geprobeerd een oplossing te vinden","coping","i have tried to find a solution","coping","","emotion regulation","coping;emotion regulation","","","","Milla;Ben","coping;emotion regulation"
